Order ID,Customer ID,Order DateTime,Product Name,Category,Quantity,Price,City,Delivery Time (mins),Order Status
ORD1000,CUST260,2023-06-25 17:15:00,Potatoes,Vegetables,1,388.63,Kolkata,,Returned
ORD1001,CUST497,2023-09-15 11:24:00,Shampoo,Personal Care,1,272.92,Mumbai,,Returned
ORD1002,CUST217,2023-10-20 23:16:00,Bread,Bakery,4,123.2,Pune,82.9,Delivered
ORD1003,CUST434,2023-09-04 04:51:00,Butter,Dairy,4,425.03,Pune,41.54,Delivered
ORD1004,CUST354,2023-07-04 20:01:00,Bananas,Fruits,3,483.1,Kolkata,26.17,Delivered
ORD1005,CUST353,2023-06-05 20:27:00,Eggs,Dairy,5,85.51,Mumbai,26.82,Delivered
ORD1006,CUST360,2023-08-09 06:51:00,Shampoo,Personal Care,4,101.85,Delhi,72.19,Delivered
ORD1007,CUST363,2023-01-12 08:18:00,Apples,Fruits,1,471.95,Delhi,,Cancelled
ORD1008,CUST386,2023-06-10 03:51:00,Chicken,Meat,3,147.73,Pune,68.77,Delivered
ORD1009,CUST105,2023-08-23 19:49:00,Rice,Grains,1,365.25,Mumbai,,Returned
ORD1010,CUST239,2023-01-05 08:25:00,Milk,Dairy,2,240.9,Chennai,,Returned
ORD1011,CUST402,2023-05-16 18:18:00,Milk,Dairy,5,142.63,Hyderabad,26.48,Delivered
ORD1012,CUST491,2023-06-10 22:06:00,Rice,Grains,3,492.06,Hyderabad,65.72,Delivered
ORD1013,CUST257,2023-01-24 18:42:00,Shampoo,Personal Care,3,26.07,Bangalore,56.35,Delivered
ORD1014,CUST165,2023-09-27 05:50:00,Apples,Fruits,4,326.88,Chennai,86.23,Delivered
ORD1015,CUST185,2023-09-10 20:33:00,Fish,Meat,4,223.98,Hyderabad,24.78,Delivered
ORD1016,CUST484,2023-10-12 02:18:00,Tomatoes,Vegetables,4,376.61,Pune,60.82,Delivered
ORD1017,CUST438,2023-01-25 16:25:00,Bananas,Fruits,2,355.75,Mumbai,,Cancelled
ORD1018,CUST103,2023-04-22 11:57:00,Tomatoes,Vegetables,4,280.3,Kolkata,26.06,Delivered
ORD1019,CUST285,2023-09-21 07:43:00,Onions,Vegetables,1,436.45,Pune,84.69,Delivered
ORD1020,CUST383,2023-02-14 06:00:00,Toothpaste,Personal Care,5,119.86,Mumbai,25.7,Delivered
ORD1021,CUST171,2023-10-01 20:55:00,Potatoes,Vegetables,4,78.87,Chennai,65.28,Delivered
ORD1022,CUST248,2023-02-13 05:09:00,Eggs,Dairy,1,293.07,Kolkata,28.77,Delivered
ORD1023,CUST344,2023-05-27 22:31:00,Toothpaste,Personal Care,2,390.76,Delhi,67.83,Delivered
ORD1024,CUST334,2023-03-18 03:24:00,Fish,Meat,5,140.49,Chennai,63.16,Delivered
ORD1025,CUST381,2023-04-07 22:38:00,Shampoo,Personal Care,1,139.14,Hyderabad,23.45,Delivered
ORD1026,CUST392,2023-05-07 14:57:00,Fish,Meat,3,302.6,Kolkata,56.3,Delivered
ORD1027,CUST277,2023-04-22 01:43:00,Chicken,Meat,1,114.93,Hyderabad,50.09,Delivered
ORD1028,CUST477,2023-12-01 13:27:00,Milk,Dairy,4,321.45,Delhi,41.52,Delivered
ORD1029,CUST339,2023-01-17 09:50:00,Shampoo,Personal Care,2,103.87,Mumbai,25.51,Delivered
ORD1030,CUST108,2023-05-12 04:09:00,Onions,Vegetables,3,272.08,Hyderabad,77.85,Delivered
ORD1031,CUST163,2023-04-13 18:16:00,Tomatoes,Vegetables,4,417.4,Pune,,Returned
ORD1032,CUST423,2023-02-10 13:01:00,Chicken,Meat,5,178.15,Pune,65.39,Delivered
ORD1033,CUST397,2023-02-04 19:45:00,Onions,Vegetables,1,41.29,Kolkata,14.45,Delivered
ORD1034,CUST359,2023-09-02 21:52:00,Tomatoes,Vegetables,3,214.36,Hyderabad,,Cancelled
ORD1035,CUST415,2023-10-06 10:34:00,Butter,Dairy,5,495.06,Bangalore,35.29,Delivered
ORD1036,CUST324,2023-01-25 22:00:00,Milk,Dairy,4,440.59,Pune,12.22,Delivered
ORD1037,CUST272,2023-11-27 05:07:00,Apples,Fruits,4,319.35,Mumbai,73.75,Delivered
ORD1038,CUST357,2023-10-19 17:15:00,Toothpaste,Personal Care,2,273.73,Kolkata,23.45,Delivered
ORD1039,CUST242,2023-10-01 20:10:00,Milk,Dairy,4,67.67,Pune,86.92,Delivered
ORD1040,CUST282,2023-03-02 13:09:00,Tomatoes,Vegetables,2,312.24,Kolkata,46.8,Delivered
ORD1041,CUST111,2023-12-01 07:06:00,Toothpaste,Personal Care,3,365.08,Hyderabad,61.25,Delivered
ORD1042,CUST373,2023-09-13 15:45:00,Wheat Flour,Grains,1,259.33,Hyderabad,,Cancelled
ORD1043,CUST254,2023-01-26 17:54:00,Apples,Fruits,5,469.54,Chennai,27.83,Delivered
ORD1044,CUST285,2023-03-24 17:36:00,Tomatoes,Vegetables,5,383.8,Mumbai,,Returned
ORD1045,CUST123,2023-08-31 09:36:00,Potatoes,Vegetables,1,485.01,Mumbai,39.08,Delivered
ORD1046,CUST470,2023-04-15 17:21:00,Wheat Flour,Grains,2,110.97,Chennai,,Returned
ORD1047,CUST376,2023-03-28 16:30:00,Shampoo,Personal Care,4,353.32,Hyderabad,,Returned
ORD1048,CUST353,2023-10-24 22:42:00,Rice,Grains,2,490.38,Chennai,22.68,Delivered
ORD1049,CUST286,2023-10-09 15:13:00,Wheat Flour,Grains,1,356.08,Hyderabad,26.12,Delivered
ORD1050,CUST302,2023-09-13 00:42:00,Chicken,Meat,4,369.33,Delhi,30.35,Delivered
ORD1051,CUST416,2023-01-05 23:25:00,Toothpaste,Personal Care,3,328.28,Delhi,51.85,Delivered
ORD1052,CUST253,2023-01-25 01:54:00,Onions,Vegetables,2,325.06,Bangalore,37.23,Delivered
ORD1053,CUST141,2023-09-06 12:16:00,Butter,Dairy,4,368.07,Kolkata,30.94,Delivered
ORD1054,CUST445,2023-11-15 06:48:00,Potatoes,Vegetables,3,343.64,Hyderabad,54.39,Delivered
ORD1055,CUST106,2023-08-31 23:04:00,Wheat Flour,Grains,2,227.01,Bangalore,34.12,Delivered
ORD1056,CUST297,2023-12-24 13:13:00,Rice,Grains,2,377.56,Kolkata,56.93,Delivered
ORD1057,CUST408,2023-11-22 02:14:00,Shampoo,Personal Care,1,360.7,Bangalore,89.48,Delivered
ORD1058,CUST272,2023-02-04 16:22:00,Onions,Vegetables,4,205.52,Pune,48.57,Delivered
ORD1059,CUST322,2023-01-11 16:35:00,Chicken,Meat,2,155.0,Chennai,57.19,Delivered
ORD1060,CUST244,2023-08-25 22:24:00,Potatoes,Vegetables,5,472.97,Delhi,19.97,Delivered
ORD1061,CUST287,2023-04-07 11:53:00,Bread,Bakery,2,30.59,Mumbai,85.29,Delivered
ORD1062,CUST286,2023-01-02 06:45:00,Wheat Flour,Grains,5,209.15,Chennai,75.67,Delivered
ORD1063,CUST484,2023-03-29 10:29:00,Onions,Vegetables,3,73.89,Hyderabad,20.68,Delivered
ORD1064,CUST402,2023-03-09 21:07:00,Bananas,Fruits,5,453.81,Pune,53.6,Delivered
ORD1065,CUST346,2023-01-21 07:06:00,Bread,Bakery,1,397.9,Bangalore,86.21,Delivered
